Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
1995/09/21,,Coombe Dingle,3,12,7.3,850,71,8,0.012,,15600,1200,,,2,,,
1995/09/21,,Ashton vale,4,12,7.6,680,58,11,0.212,,216000,6200,,,3,,,
1995/09/21,,Hartcliffe Way,5,13,7.4,670,72,25,0.121,,11400,800,,,2,,,
1995/09/21,,Manor Wood,6,15,7.5,650,70,36,0.036,,828000,3400,,,5,,,
1995/12/01,,St Georges Park Lake,11,9,7.5,756,34,15,0.118,0.18,2000,450,,,,,,
1995/09/21,,Gas works at Malago Vale,7,13,7.5,700,71,28,0.055,,34000,1200,,,2,,,
1995/09/21,,Lynet Way,8,13,8.2,1050,80,41,0.032,,928000,432000,,,8,,,
1995/09/21,,Cadogan Road,10,16,7.45,980,53,44,0.096,,118000,94000,,,15,,,
1995/09/22,,Allison Road,9,13,7.76,950,90,6,0.06,,156000,48000,,,3,,,
1995/09/22,,St Georges Park Lake,11,16,8.2,670,92,10,0.121,0.7,4200,200,,,2,,,
1995/09/22,,Dubbers Lane,12,14,7.57,970,57,28,0.143,0.24,70000,34000,,,6,,,
1995/09/22,,Eastville Park Lake,13,15,8.06,690,95,42,0.032,0.14,800,200,,,8,,,
1995/09/22,,Snuff Mills,14,13,7.94,940,76,38,0.014,,3800,800,,,2,,,
1995/09/22,,Mina Park ,15,14,7.74,970,89,47,0.023,,82000,8000,,,2,,,
1995/09/22,,Conham Vale,16,15,7.5,950,79,24,0.077,,164000,28000,,,2,,,
1995/10/19,,Hartcliffe Way,5,13,7.7,708,83,2,0.108,0.85,5200,1000,,,2,,,
1995/10/19,,Manor Wood,6,14,7.7,732,83,9,0.099,0.9,270000,130000,,,2,,,
1995/10/19,,Gas works at Malago Vale,7,13,7.7,830,80,23,0.03,0.95,7400,6200,,,2,,,
1995/10/19,,Lynet Way,8,13,8.2,,,7,0.014,0.6,400000,,,,2,,,
1995/10/19,,Allison Road,9,13,7.8,806,97,36,0.042,,140000,66000,,,2,,,
1995/10/19,,Cadogan Road,10,15,7.7,893,73,13,0.29,,400000,,,,12,,,
1995/10/19,,Mina Park ,15,14,8.02,1006,100,36,0.032,0.58,94000,8400,,,2,,,
1995/10/19,,Conham Vale,16,14,8,773,89,36,0.09,,38000,8000,,,2,,,
1995/10/25,,Trowbridge Road,2,14,7.6,639,54,22,0.06,,320000,260000,,,5,,,
1995/10/25,,Coombe Dingle,3,12,7.7,484,62,186,0.067,0.58,160000,120000,,,3,,,
1995/10/25,,Ashton vale,4,12,7.65,709,118,40,0.074,,60000,60000,,,3,,,
1995/10/25,,St Georges Park Lake,11,13,7.9,725,70,5,0.055,0.43,2000,1800,,,2,,,
1995/10/25,,Dubbers Lane,12,13,7.6,1319,56,16,0.46,,440000,340000,,,39,,,
1995/10/25,,Eastville Park Lake,13,11,7.7,705,60,62,0.014,0.072,4600,4600,,,15,,,
1995/10/25,,Snuff Mills,14,13,7.9,375,70,40,0.023,0.4,300000,300000,,,4,,,
1995/11/30,,Avonmouth Rhine,1,9,6.9,1482,98,8,0.205,0.13,400,200,,,,,,
1995/11/30,,Trowbridge Road,2,11,7.4,777,94,5,0.042,,280000,6400,,,,,,
1995/11/30,,Coombe Dingle,3,9,7.2,891,94,8,0.018,,7000,600,,,,,,
1995/11/30,,Ashton vale,4,9,7.5,826,69,13,0.128,,1600,1600,,,,,,
1995/11/30,,Hartcliffe Way,5,10,,754,92,6,0.057,,60000,2000,,,,,,
1995/11/30,,Manor Wood,6,10,7.9,720,101,42,0.018,,1200,200,,,,,,
1995/11/30,,Gas works at Malago Vale,7,9,7.5,1019,109,1,0.034,,280000,280000,,,,,,
1995/11/30,,Cadogan Road,10,12,7.5,828,105,5,0.067,,280000,280000,,,,,,
1995/12/01,,Lynet Way,8,10,8.1,547,90,39,0.093,,11000,4900,,,,,,
1995/12/01,,Allison Road,9,10,8,371,89,35,0.023,,89000,8900,,,,,,
1995/12/01,,Dubbers Lane,12,11,7.7,898,85,26,0.231,0.1,200000,67000,,,,,,
1995/12/01,,Eastville Park Lake,13,7,7.7,666,70,31,0.019,0.53,450,450,,,,,,
1995/12/01,,Snuff Mills,14,9,8.1,709,106,39,0.04,0.11,3100,1300,,,,,,
1995/12/01,,Mina Park ,15,11,7.7,735,99,21,0.03,,16000,4400,,,,,,
1995/12/01,,Conham Vale,16,9,8.1,677,94,49,0.077,,22000,6200,,,,,,
1996/01/15,,Coombe Dingle,3,5.2,7.1,830,67,130,,2.4,3400,1200,,,1,,,
1996/01/15,,Trowbridge Road,2,7.6,7,820,48,75,,0.5,260000,30000,,,13,,,
1996/01/23,,Coombe Dingle,3,6.3,,25,,25,,,32000,5400,,,4,,,
1996/01/23,,Ashton vale,4,5.8,7.9,437,,60,,0.58,57000,8800,,,12,,,
1996/01/23,,Avonmouth Rhine,1,3.8,7.5,1554,,20,,0.37,200,200,,,2,,,
1996/01/23,,Trowbridge Road,2,6.5,7.7,459,,44,,1,220000,9400,,,9,,,
1996/01/23,,Hartcliffe Way,5,5.5,7.8,726,,27,,2.2,96000,7600,,,5,,,
1996/01/23,,Manor Wood,6,5.8,7.6,289,,51,,0.85,240000,17000,,,8,,,
1996/01/23,,Gas works at Malago Vale,7,5.2,7.4,580,,60,,1.8,290000,12000,,,7,,,
1996/01/23,,Lynet Way,8,6.2,8.1,353,,58,,0.9,200000,13000,,,9,,,
1996/01/24,,St Georges Park Lake,11,4.5,7.6,749,,28,,0.35,53000,25000,,,8,,,
1996/01/24,,Eastville Park Lake,13,2.6,7.9,649,,51,,0.18,400,200,,,5,,,
1996/01/24,,Allison Road,9,5.5,7.3,676,,50,,0.4,29000,9000,,,7,,,
1996/01/24,,Dubbers Lane,12,6.2,7.6,852,,37,,0.32,300000,22000,,,11,,,
1996/01/24,,Snuff Mills,14,4.3,8.2,712,,77,,3.3,40000,4400,,,4,,,
1996/01/24,,Mina Park ,15,6.3,7.9,558,,53,,0.7,140000,44000,,,6,,,
1996/01/24,,Conham Vale,16,5.5,8.2,741,,64,,0.55,80000,24000,,,5,,,
1996/02/29,,Ashton vale,4,5,8.2,885,70,40,,5,36000,200,,,4,,,
1996/02/29,,Avonmouth Rhine,1,2.4,7.2,214,50,9,,0.9,3000,400,,,4,,,
1996/02/29,,Trowbridge Road,2,6.5,6.8,984,67,11,,4,340000,80000,,,12,,,
1996/02/29,,Coombe Dingle,3,5.2,,6,81,6,,,33000,2400,,,2,,,
1996/02/29,,Hartcliffe Way,5,5.3,8.3,770,83,12,,5.2,40000,1400,,,3,,,
1996/02/29,,Vale Lane - opposite,5x,7.5,8.1,1047,91,3,,4.6,38000,5400,,,4,,,
1996/02/29,,Manor Wood,6,12,8.2,698,77,12,,3.6,320000,39000,,,2,,,
1996/02/29,,Gas works at Malago Vale,7,6.2,8.3,1047,96,34,,5.2,9200,200,,,4,,,
1996/03/01,,St Georges Park Lake,11,5.2,9.2,719,,15,,0.3,760,200,,,24,,,
1996/03/01,,Eastville Park Lake,13,3.7,8.1,818,,6,,1,200,200,,,6,,,
1996/03/01,,Allison Road,9,4.6,8.8,742,,17,,3.2,18000,6600,,,4,,,
1996/03/01,,Lynet Way,8,12,8.5,730,,12,,0.9,26000,22000,,,4,,,
1996/03/01,,Dubbers Lane,12,9.2,7.8,2250,,19,,0,16000,12000,,,20,,,
1996/03/01,,Snuff Mills,14,5.1,8.2,773,,5,,2.8,2400,800,,,2,,,
1996/03/01,,Mina Park ,15,8.6,8.2,1096,,5,,0.9,8400,200,,,2,,,
1996/03/01,,Conham Vale,16,5.1,8.1,710,,21,,3.4,14000,3000,,,2,,,
1996/03/27,,Ashton vale,4,6.2,8.4,716,76,56,,1.5,10000,1600,,,3,25,,
1996/03/27,,Avonmouth Rhine,1,7.1,8.3,1844,63,22,,3.1,200,200,,,6,,,
1996/03/27,,Trowbridge Road,2,7.6,7.8,837,76,8,,5.5,40000,40000,,,4,,,
1996/03/27,,Coombe Dingle,3,6.5,,12,77,12,,,9600,1000,,,3,,,
1996/03/27,,Hartcliffe Way,5,7.3,8.3,720,74,26,,5,6400,1800,,,2,,,
1996/03/27,,Vale Lane - opposite,5x,8.2,,1087,85,13,,7.5,11000,400,,,3,,,
1996/03/27,,Manor Wood,6,7.2,8.5,712,72,16,,5,40000,3800,,,2,,,
1996/03/27,,Gas works at Malago Vale,7,8.5,8.6,1029,82,33,,7.5,3800,200,,,3,,,
1996/03/28,,St Georges Park Lake,11,5.9,8.1,600,,25,,0.23,60000,2400,,,10,,,
1996/03/28,,Eastville Park Lake,13,9,7.8,1787,81,11,,0.09,200,200,,,7,,,
1996/03/28,,Allison Road,9,5.7,5,676,96,20,,5.8,15000,4200,,,2,,,
1996/03/28,,Lynet Way,8,6.4,8.5,674,80,34,,3.8,100000,1800,,,2,,,
1996/03/28,,Dubbers Lane,12,7.8,8.8,690,,15,,0.26,280000,40000,,,20,46,,
1996/03/28,,Snuff Mills,14,6.7,8.2,627,98,11,,6,3600,1400,,,3,,,
1996/03/28,,Mina Park ,15,7.8,8.3,625,96,10,,5.3,14000,6600,,,2,,,
1996/03/28,,Conham Vale,16,9,,1003,,39,,5.5,80000,7000,,,3,,,
1996/04/25,,Avonmouth Rhine,1,13.7,7.6,1504,105,13,,0.33,200,200,,,8,,,
1996/04/25,,Trowbridge Road,2,10.6,7.7,832,84,28,,0.42,860000,60000,,,4,,,
1996/04/25,,Coombe Dingle,3,10,,11,108,11,,,4000,800,,,2,,,
1996/04/25,,Ashton vale,4,9.9,,776,80,31,,2.6,26000,2200,,,6,,,
1996/04/25,,Ashton vale,4,,,,,,,,2400,600,,,2,21,,
1996/04/25,,Hartcliffe Way,5,11.6,7.6,,,15,,2.2,39000,1400,,,3,,,
1996/04/25,,Vale Lane - opposite,5x,11.9,7.5,965,,8,,2.8,5300,800,,,3,,,
1996/04/25,,Gas works at Malago Vale,7,13,8.1,977,,27,,2.6,3000,200,,,2,,,
1996/04/26,,St Georges Park Lake,11,14,8.9,702,,,,0.076,4600,800,,,10,,,
1996/04/26,,Eastville Park Lake,13,16.6,8.8,585,,,,0.03,600,200,,,12,,,
1996/04/26,,Manor Wood,6,10.8,7.6,652,,16,,2.1,160000,140000,,,3,,,
1996/04/26,,Allison Road,9,10.8,8.5,644,,,,2.3,140000,1200,,,2,,,
1996/04/26,,Lynet Way,8,10.7,8.4,656,,22,,1.6,8400,2800,,,2,,,
1996/04/26,,Dubbers Lane,12,11.8,7.6,1984,,,,0,420000,220000,,,25,,,
1996/04/26,,Snuff Mills,14,12,8.9,685,,,,2.4,5000,200,,,3,,,
1996/04/26,,Mina Park ,15,11.7,8.3,587,,,,2.2,14000,4200,,,2,,,
1996/04/26,,Conham Vale,16,11.5,7.9,592,,,,3,15000,1600,,,5,,,
1996/06/05,,Avonmouth Rhine,1,19.8,7.7,1480,,20,,0.24,200,200,,,11,,,
1996/06/05,,Trowbridge Road,2,14.3,7.9,770,,4,,0.9,2200000,640000,,,25,,,
1996/06/05,,Coombe Dingle,3,12.8,,8,,8,,,76000,1000,,,2,,,
1996/06/05,,Ashton vale,4,13.2,7.8,1116,,22,,2.6,220000,6000,,,8,33,,
1996/06/05,,Hartcliffe Way,5,15.7,8.2,713,,13,,2,4200,400,,,2,,,
1996/06/05,,Vale Lane - opposite,5x,14.8,7.8,895,,11,,1,180000,2200,,,19,,,
1996/06/05,,Manor Wood,6,13.7,7.6,635,,31,,0.8,820000,100000,,,8,,,
1996/06/05,,Gas works at Malago Vale,7,16.2,7.9,850,,19,,0.65,360000,400,,,4,,,
1996/06/06,,St Georges Park Lake,11,19,8.4,,37,73,,0.036,16000,3200,,,15,,,
1996/06/06,,Eastville Park Lake,13,24.2,8.5,,86,15,,0.06,260000,200,,,28,,,
1996/06/06,,Allison Road,9,13.8,8.2,,127,12,,1,680000,140000,,,3,,,
1996/06/06,,Lynet Way,8,13.7,8.5,,113,9,,0.9,620000,8000,,,3,,,
1996/06/06,,Dubbers Lane,12,13,7.9,,20,37,,0.01,1100000,60000,,,6,47,,
1996/06/06,,Snuff Mills,14,15,8.5,,54,15,,2.4,1800,200,,,3,,,
1996/06/06,,Mina Park ,15,13.2,8.2,,40,48,,1.78,520000,100000,,,3,,,
1996/06/06,,Conham Vale,16,16,8.9,,156,18,,2.2,13000,3200,,,8,,,
1996/06/26,,Avonmouth Rhine,1,19.5,7.5,1592,4,46,,0.14,800,400,,,38,,,
1996/06/26,,Trowbridge Road,2,14.8,7.8,795,49,27,,0.2,460000,60000,,,8,,,
1996/06/26,,Coombe Dingle,3,13.5,,26,63,26,,,3800,1200,,,3,,,
1996/06/26,,Hartcliffe Way,5,15.2,7.7,717,66,16,,0.8,1200,200,,,2,,,
